,id,Doc_ID,Sent_ID,Word,tag
0,1,1,1,Obesity,O
1,2,1,1,in,O
2,3,1,1,Low-,O
3,4,1,1,and,O
4,5,1,1,Middle-Income,O
5,6,1,1,Countries,O
6,7,1,1,:,O
7,8,1,1,Burden,O
8,9,1,1,",",O
9,10,1,1,Drivers,O
10,11,1,1,",",O
11,12,1,1,and,O
12,13,1,1,Emerging,O
13,14,1,1,Challenges,O
14,15,1,1,.,O
15,16,1,2,We,O
16,17,1,2,have,O
17,18,1,2,reviewed,O
18,19,1,2,the,O
19,20,1,2,distinctive,O
20,21,1,2,features,O
21,22,1,2,of,O
22,23,1,2,excess,O
23,24,1,2,weight,O
24,25,1,2,",",O
25,26,1,2,its,O
26,27,1,2,causes,O
27,28,1,2,",",O
28,29,1,2,and,O
29,30,1,2,related,O
30,31,1,2,prevention,O
31,32,1,2,and,O
32,33,1,2,management,O
33,34,1,2,efforts,O
34,35,1,2,",",O
35,36,1,2,as,O
36,37,1,2,well,O
37,38,1,2,as,O
38,39,1,2,data,O
39,40,1,2,gaps,O
40,41,1,2,and,O
41,42,1,2,recommendations,O
42,43,1,2,for,O
43,44,1,2,future,O
44,45,1,2,research,O
45,46,1,2,in,O
46,47,1,2,low-,O
47,48,1,2,and,O
48,49,1,2,middle-income,O
49,50,1,2,countries,O
50,51,1,2,(,O
51,52,1,2,LMICs,O
52,53,1,2,),O
53,54,1,2,.,O
54,55,1,3,Obesity,O
55,56,1,3,is,O
56,57,1,3,rising,O
57,58,1,3,in,O
58,59,1,3,every,O
59,60,1,3,region,O
60,61,1,3,of,O
61,62,1,3,the,O
62,63,1,3,world,O
63,64,1,3,",",O
64,65,1,3,and,O
65,66,1,3,no,O
66,67,1,3,country,O
67,68,1,3,has,O
68,69,1,3,been,O
69,70,1,3,successful,O
70,71,1,3,at,O
71,72,1,3,reversing,O
72,73,1,3,the,O
73,74,1,3,epidemic,O
74,75,1,3,once,O
75,76,1,3,it,O
76,77,1,3,has,O
77,78,1,3,begun,O
78,79,1,3,.,O
79,80,1,4,In,O
80,81,1,4,LMICs,O
81,82,1,4,",",O
82,83,1,4,overweight,O
83,84,1,4,is,O
84,85,1,4,higher,O
85,86,1,4,in,O
86,87,1,4,women,O
87,88,1,4,compared,O
88,89,1,4,with,O
89,90,1,4,men,O
90,91,1,4,",",O
91,92,1,4,in,O
92,93,1,4,urban,O
93,94,1,4,compared,O
94,95,1,4,with,O
95,96,1,4,rural,O
96,97,1,4,settings,O
97,98,1,4,",",O
98,99,1,4,and,O
99,100,1,4,in,O
