id,title,name,category,material,brand,price,rating,reviewsCount,description,url,img_url,inStock,inStockText
B0CWH366KJ,"Agfabric Natural Jute Erosion Control, 16yard(50 feet Long) Jute Netting -8ft Wide Soil Saver Mesh Blanket-400 Sq.Ft.Coverage",Weed Barrier Fabric,"Patio, Lawn & Garden",,Agfabric,$87.3,,,"Protect your yard and garden with our biodegradable erosion control fabric, made from natural jute fibers. > Prevent soil erosion and promote healthy plant growth with our erosion control blanket with seed. > Use our burlap rolls for gardening and landscaping projects such as weed barriers, tree and plant protection, and more. > Our erosion control products, including jute netting and burlap material, are perfect for hillside stabilization and erosion prevention. > Keep deer and other animals out of your garden beds with our sturdy deer fence and natural burlap blankets.",https://www.amazon.com/dp/B0CWH366KJ,https://m.media-amazon.com/images/I/71t3FD5KjHL.__AC_SY445_SX342_QL70_ML2_.jpg,True,Only 5 left in stock - order soon.
B086L692VC,SAFAVIEH Braided Collection 4' Round Light Blue/Gold BRD910H Handmade Country Cottage Reversible Jute Area Rug,Area Rugs,Home & Kitchen,"50%jute, 25% Wool, 25% Cotton",Safavieh,$40.63,4.2,59.0,"Country style is perfect for a casual cottage setting to add shabby chic charm > Meticulously detailed artisan crafted hand-woven construction > Made from softened premium natural jute fiber > Medium 0.5-inch pile thickness for a sleek look and support underfoot > Construction Type:Hand Made. Product Note:Rugs may contain temporary creases upon arrival, allow time for creases to flatten and settle",https://www.amazon.com/dp/B086L692VC,https://m.media-amazon.com/images/I/A1Q73Cheh2S.__AC_SX300_SY300_QL70_ML2_.jpg,True,Only 3 left in stock - order soon.
B01J6JELTG,Eyeseals 4.0 Sleep Mask – Clear – Moisturizing Eye Masks for Sleep Keep Dry Air Out – Latex-Free Eye Mask Great for CPAP Users,Sleeping Masks,Health & Household,Plastic,EYEECO,$65.95,3.7,1075.0,"Locks moisture in: Eyeseals 4.0 eye mask for dry eyes works to create a moisture-rich environment for the eyes, eyelids and surrounding skin; soft sleep eye mask is fitted with an adjustable microfiber head wrap to comfortably lock moisture in > Keeps dryness out: Our eye mask for sleeping helps relieve dry eye due to leaking CPAP machines, lagophthalmos, floppy eye, comprised lid seal and more; moisturizing sleeping eye mask keeps air out to deliver comfortable rest and sleep > Crafted for comfort: This soft eye mask for sleep is designed to stay on during the night, so it makes a great sleep mask for side sleeper and back sleeper positions; our sleep eye mask gently rests over the orbital bones, leaving room to blink > Quality materials: Eyeseals soft sleep masks are made from flexible medical grade thermal plastic that helps create a hydrating environment for the eyes; our sleep mask for dry eyes is hypoallergenic and latex-free > Doctor recommended: EyeEco is part PVG (PRN Vision Group), a complete line of eye care products; more than 4,000 ophthalmologists and optometrists recommend PVG products to their patients",https://www.amazon.com/dp/B01J6JELTG,https://m.media-amazon.com/images/I/61Uz393xlpL.__AC_SY300_SX300_QL70_ML2_.jpg,True,
B07HQSKK36,"Lucky Monet 25/50/100PCS Burlap Gift Bags Wedding Hessian Jute Bags Linen Jewelry Pouches with Drawstring for Birthday, Party, Wedding Favors, Present, Art and DIY Craft (100Pcs, Coffee, 4” x 6”)",Gift Bags,Health & Household,Burlap,Lucky Monet,$29.99,4.6,2492.0,"❤ Premium Burlap Material❤ These small burlap bags are crafted from top-quality burlap, ensuring exceptional durability. The natural texture adds a rustic charm, making your gifts even more special > ❤ Elaborately Crafted❤ Each burlap gift bag is meticulously sewn by hand. We've incorporated a soft protective layer as the inner lining, which can prevent scratching or keeping items clean when storing > ❤ Effortless Drawstring Closure❤ Our burlap bags feature a user-friendly drawstring design, allowing for easy opening and secure closure. This thoughtful feature not only provides convenient access to your items but also guarantees excellent protection, preventing any potential loss > ❤ Ideal Size for Versatile Use❤ Burlap gift bags are available in different sizes: 3"" x 4"", 4"" x 6"", 5"" x 7"", 7"" x 9"" for you to choose (PLEASE NOTE THAT the size is overall length, the demension from the top of bag to drawstring line is approx 1""-1.2"", please notice the inside usable space before purchase) > ❤ Versatility for Various Occasions❤ These burlap bags with drawstring are an exceptional choice for wedding favor gift, crafting DIY projects, home use, travelling, birthday, party, bridal shower, and any other occasions, add a touch of rustic elegance!",https://www.amazon.com/dp/B07HQSKK36,https://m.media-amazon.com/images/I/71DrHIU1aML.__AC_SX300_SY300_QL70_ML2_.jpg,True,In Stock  In Stock
B0C3Y8WJDR,"St. Boniface Bag Company | Burlap Bags - Size: 13x24"" | Burlap Sand bags for Flooding & Tent Bags | Potato Bag | Jute Bag | Biodegradable sandbags | 25 lbs Weight Capacity 7.5 oz Material (5)",Grow Bags,"Patio, Lawn & Garden",5.0 Count,Generic,$29.99,4.4,11.0,"100% Burlap > 100% BIODEGRADABLE AND ECO FRIENDLY: Made from natural jute plants, St. Boniface Bag Company Burlap Bags are environmentally friendly and biodegradable, leaving zero trash in landfills. > ULTIMATE FLOOD AND STORM PROTECTION: St. Boniface Bag Company's Sand Bags provide effective building blocks for quick dams and flood barriers to protect homes and businesses. > MULTIPLE USES: St. Boniface Bag Company's Burlap Bags are versatile, convenient, and can be used for landscaping, construction, storage, and anchoring. They are industry standard as Potato Bags! > MILITARY GRADE: With double-stitched bottoms and a 50lb weight capacity, St. Boniface Bag Company's Burlap Sandbags are built to withstand harsh elements and heavy use.",https://www.amazon.com/dp/B0C3Y8WJDR,https://m.media-amazon.com/images/I/81q3el899UL.__AC_SY300_SX300_QL70_ML2_.jpg,True,In Stock
B0D9KSYPWF,"100% Biodegradable Erosion Control Blanket - Straw/Coconut Erosion Control Blanket, Straw Garden and Landscape Cover, Erosion Control Blanket, Straw Blanket, Erosion Control (5' x 112.5')",Weed Barrier Fabric,"Patio, Lawn & Garden",,Farm Plastic Supply,$130.99,4.8,13.0,"100% Biodegradable - The Material and Netting in this Blanket is 100% Biodegradable. Both the agricultural Wheat Straw and Coconut Fibers are 100% Biodegradable and they are held together by a Biodegradable Brown Poly Net that will biodegrade after 90 days. > 70% Straw - Our 100% Biodegradable Straw/Coconut Erosion Control Blankets are a temporary rolled erosion control product composed of 70% agricultural wheat straw. > 30% Coconut Fiber - Our 100% Biodegradable Straw/Coconut Erosion Control Blankets are a temporary rolled erosion control product composed of 30% organic coconut fiber. > Germination: Our Erosion Control Blankets also aid in the germination of newly planted seeds by shielding seeds from erosion and harsh weather which makes it easier for them to grow. > Versatile: Erosion Control Blankets are very versatile as they are widely used on riverbeds, hills, culvert inlets and outfalls, and channel and ditch linings. They are great for construction projects as well as they are a contractors dream.",https://www.amazon.com/dp/B0D9KSYPWF,https://m.media-amazon.com/images/I/71jfXXjGGKL.__AC_SY300_SX300_QL70_ML2_.jpg,True,In Stock  In Stock
B08S6XG2GB,"Body Restore Shower Steamers Aromatherapy 30 Pack - Easter Basket Stuffers, Relaxation Birthday Gifts for Mom, Dad, Best Friend, Travel Essentials, Stress Relief, Self Care - Collector’s Box",Shower Steamers,Beauty & Personal Care,Body Restore,Body Restore,$69.99,4.4,1592.0,"30 Scents Variety Pack: Infused with natural essential oils. Includes eucalyptus, citrus, lavender, rose, tea tree, milk & honey, chamomile, and more. Perfect as birthday gifts for women or men! > A Deluxe Home Spa Experience: Lasting longer than typical shower steamers, our set is a must-have for women who want to restore and relax naturally. Ideal for bridal, self-care, or new mom gifts. > Wash Away Stress and Fatigue: Melt away the day’s stress with our relaxing shower bombs. Great for teacher appreciation, dad gifts, or postpartum care packages for women. > Travel Essentials: Compact and convenient, these steamers are travel must-haves for on-the-go relaxation. Perfect for college students, graduation gifts, or unique spa gifts. > Surprise Loved Ones: Spoil your loved ones with thoughtful gifts. Ideal for Christmas stockings, Valentine’s, or Mother’s Day, whether for your wife, husband, coworker, or as white elephant gifts.",https://www.amazon.com/dp/B08S6XG2GB,https://m.media-amazon.com/images/I/71sI0Bkas5L.__AC_SX300_SY300_QL70_ML2_.jpg,True,In Stock  In Stock
B09TSH933X,Pandahall 5 Rolls Burlap Ribbon Fabric 1/4 Inch Tan Flat Hessian Jute Ribbon Rolls Crafts with Spool for Wrapping Party Home Decoration,Ribbons,"Arts, Crafts & Sewing",PH PandaHall,PH PandaHall,$12.98,4.7,477.0,"Size: about 1/4 inch(6.5mm) wide, about 10.94 yards(10m)/Roll, total 5 rolls. > Material: These jute ribbons are made of burlap, they are breathable and refreshing, soft and comfortable, washable and sun-resistant. > Easy to Use: You can use scissors to cut out the length you need. Classic natural color will always be in style and they are suitable for decorating most items. > Widely Used: These tan ribbons can be used to decorate handbags, wreath, garden, garments, party, home, etc. Also good for wrapping gifts, scrapbooks, bouquet and so on. > Tips: total 5 rolls 10.94 yards tan ribbons. The abundant quantity is enough for daily using. They can be used as a variety of handicrafts and meet your many DIY need.",https://www.amazon.com/dp/B09TSH933X,https://m.media-amazon.com/images/I/718fYZmX9uL.__AC_SX300_SY300_QL70_ML2_.jpg,True,In Stock
B0DHFSGNKC,"Curtain Holdbacks Boho Tiebacks for Drapes, Farmhouse Jute Rope Tie Backs with Rustic Wood Club, Curtain Accessories Holders for Indoor Outdoor Use, Set of 4",Holdbacks,Home & Kitchen,WARMTONE,WARMTONE,$19.95,4.5,149.0,"Unique Design: The exquisite curtain tie is made from natural jute rope, white cotton ribbon, and wood club, all these are environmentally friendly materials. > Size Infos: Jute tie length is 10 inches (25cm), the wood club for 7.9 inches (20cm). Perfect suitable for curtains' width between 40-60 inches. > Easy to Use: Reliable and easy to use. No need to install hardware or put any holes in the wall. No nails, no hooks, so you can quickly disassemble and fix the drapes. > Indoor Outdoor Fit: The rustic and boho look make it such a difference to fit into the farmhouse, living room, bedroom, kitchen, and dining room, even outdoor pergola. > Gift Option - What a great idea to have farmhouse handmade tiebacks instead of the normal ropes. The elegant design, exquisite craft, and linen rustic look will be a nice choice for housewarming presents.",https://www.amazon.com/dp/B0DHFSGNKC,https://m.media-amazon.com/images/I/91OQZkPqdJL.__AC_SX300_SY300_QL70_ML2_.jpg,True,In Stock
B0DK3BDRJG,"VEVOR Burlap Fabric Roll, 14” x 150 ft High Density Natural Jute Fiber Material for Outdoor Plant Care, Tree Wrap Roll, Decor, DIY Crafts, Wedding, Garden Weed Barrier, Plants & Trees Winter Covering",Weed Barrier Fabric,"Patio, Lawn & Garden",,VEVOR,$39.99,4.7,51.0,"Biodegradable Material: This burlap roll is made from 100% natural hemp fibers, ensuring a healthy and environmentally friendly choice. It's durable and fading-resistant, keeping its charm for years. Don't worry if you notice a scent - it's normal because natural burlap fibers have a unique smell! > Sturdy and Durable: This burlap fabric roll is not just a decorative piece; it's a reliable companion. With a solid density of 50 x 50 and a weight of 270 g, it's built to last. It avoids wearing and tearing, giving you a beautiful look for your decoration without worrying about quick deterioration. > Home Decoration: Unleash your creativity with this roll of burlap! It's not just a roll, it's a canvas for your imagination. From crafting placemats, bows, wreaths, Christmas ribbons, to making gift bags, it's the ideal material to add a charming touch to your kitchen and home. Burlap material's natural texture brings a cozy, country vibe to any event or home space. It adds a warm, vintage feel that will impress your guests. > Widely Used for Home and Garden: Made from natural jute plant, the fibers are woven, durable, breathable, thick that could be widely used and perfect for your home decoration, creative DIY crafts and outdoor gardening projects, including handicrafts, weddings or parties décor, landscape burlap, plant winter covering, tree wrap rolls for shrubs, fruit trees, plants transplant and protection, landscaping needs, agriculture, soil erosion control blanket, weed barrier, sackcloth, etc. > Generous Size: With a size of 14 inches wide (355 mm) and 150 feet long (45.7 m), this burlap roll is ideal for all your big projects. Whether it's for weddings, parties, or gardening, you'll have plenty of material for hassle-free decorating without the need for awkward seams.",https://www.amazon.com/dp/B0DK3BDRJG,https://m.media-amazon.com/images/I/81io54RXqOL.__AC_SX300_SY300_QL70_ML2_.jpg,True,In Stock
